28.5776,2.64
28.5816,2.477
28.5874,2.147
28.5924,1.731
28.5924,1.349
28.5934,1.252
28.5944,1.24
28.5944,1.24
28.6174,1.244
28.6293,1.262
28.6474,1.391
28.6484,1.781
28.6505,2.186
28.6575,2.643
28.6624,2.633
28.6654,2.63
28.6910,2.493
28.6963,2.116
28.7003,1.667
28.7189,1.244
28.7329,1.237
28.7389,1.234
28.7419,1.234
28.7432,1.235
28.7439,1.238
28.7439,1.249
28.7449,1.532
28.7460,1.871
28.7460,2.321
28.7469,2.619
28.7469,2.628
28.7479,2.453
28.7479,1.671
28.7489,1.34
28.7499,1.258
28.7509,1.251
28.7519,1.256
28.7529,1.267
28.7538,1.295
28.7538,1.731
28.7548,2.121
28.7562,2.52
28.7568,2.665
28.7578,2.71
28.7588,2.71
28.7598,2.682
28.7598,2.569
28.7608,2.178
28.7618,1.729
28.7628,1.346
28.7628,1.256
28.7638,1.246
28.7648,1.25
28.7658,1.272
28.7658,1.427
28.7678,1.799
28.7688,2.191
28.7698,2.506
28.7708,2.629
28.7708,2.655
28.7798,2.551
28.7898,2.242
28.8017,1.836
28.8187,1.427
28.8217,1.256
28.8267,1.239
28.8287,1.238
28.8296,1.242
28.8296,1.255
28.8306,1.338
28.8316,2.407
28.8316,2.615
28.8326,2.643
28.8326,2.649
28.8346,2.529
28.8359,2.216
28.8366,1.416
28.8376,1.255
28.8376,1.242
28.8386,1.239
28.8386,1.238
28.8396,1.241
28.8406,1.252
28.8406,1.609
28.8416,2.022
28.8426,2.366
28.8426,2.597
28.8436,2.658
28.8436,2.64
28.8446,2.218
28.8456,1.814
28.8456,1.404
28.8466,1.254
28.8466,1.242
28.8476,1.238
28.8476,1.237
28.8486,1.249
28.8496,1.296
28.8506,1.559
28.8516,1.959
28.8526,2.32
28.8536,2.565
28.8536,2.64
28.8546,2.514
28.8556,2.23
28.8556,1.839
28.8566,1.421
28.8566,1.255
28.8576,1.242
28.8586,1.238
28.8586,1.24
28.8596,1.249
28.8596,1.297
28.8606,1.567
28.8606,1.973
28.8616,2.327
28.8616,2.645
28.8626,2.658
28.8626,2.538
28.8626,2.252
28.8636,1.853
28.8636,1.437
28.8636,1.257
28.8646,1.238
28.8646,1.237
28.8646,1.24
28.8656,1.248
28.8656,1.292
28.8665,1.545
28.8672,2.313
28.8675,2.567
28.8675,2.649
28.8685,2.656
28.8685,2.536
28.8685,2.257
28.8695,1.865
28.8695,1.256
28.8705,1.243
28.8705,1.238
28.8705,1.237
28.8705,1.239
28.8715,1.247
28.8715,1.283
28.8715,1.915
28.8715,2.269
28.8725,2.53
28.8725,2.658
28.8725,2.641
28.8735,2.531
28.8735,2.257
28.8735,1.454
28.8745,1.257
28.8745,1.242
28.8745,1.238
28.8745,1.237
28.8755,1.239
28.8755,1.277
28.8755,1.479
28.8765,1.868
28.8765,2.232
28.8765,2.503
28.8765,2.633
28.8775,2.645
28.8775,2.257
28.8775,1.861
28.8775,1.431
28.8785,1.256
28.8785,1.242
28.8785,1.238
28.8795,1.238
28.8795,1.243
28.8795,1.266
28.8795,1.426
28.8795,1.808
28.8805,2.176
28.8805,2.446
28.8805,2.616
28.8805,2.487
28.8815,2.215
28.8815,1.825
28.8815,1.413
28.8815,1.254
28.8815,1.237
28.8825,1.236
28.8825,1.237
28.8825,1.242
28.8825,1.262
28.8836,1.391
28.8858,1.76
28.8865,2.41
28.8875,2.569
28.8935,2.596
28.8935,2.471
28.8945,2.215
28.9006,1.836
28.9015,1.255
28.9024,1.241
28.9044,1.237
28.9074,1.236
28.9154,1.237
28.9184,1.241
28.9184,1.26
28.9184,1.737
28.9194,2.121
28.9194,2.402
28.9194,2.576
28.9194,2.611
28.9194,2.492
28.9204,1.864
28.9204,1.449
28.9204,1.257
28.9204,1.242
28.9204,1.238
28.9214,1.236
28.9214,1.237
28.9214,1.262
28.9214,1.393
28.9214,1.769
28.9224,2.157
28.9224,2.45
28.9224,2.613
28.9224,2.562
28.9224,2.34
28.9234,1.973
28.9234,1.557
28.9234,1.271
28.9234,1.245
28.9234,1.239
28.9234,1.239
28.9244,1.244
28.9244,1.268
28.9244,1.44
28.9244,1.833
28.9244,2.223
28.9254,2.642
28.9254,2.642
28.9254,2.631
28.9254,2.413
28.9254,2.055
28.9264,1.638
28.9264,1.302
28.9264,1.24
28.9264,1.238
28.9264,1.239
28.9274,1.245
28.9274,1.269
28.9274,1.446
28.9274,2.227
28.9274,2.525
28.9274,2.653
28.9284,2.633
28.9284,2.632
28.9284,2.439
28.9284,2.082
28.9284,1.312
28.9294,1.249
28.9294,1.241
28.9294,1.238
28.9294,1.239
28.9294,1.245
28.9304,1.426
28.9304,1.819
28.9304,2.212
28.9304,2.506
28.9304,2.643
28.9314,2.642
28.9314,2.622
28.9314,2.1
28.9314,1.682
28.9324,1.319
28.9324,1.25
28.9324,1.241
28.9324,1.239
28.9324,1.245
28.9334,1.267
28.9334,1.428
28.9344,1.811
28.9344,2.197
28.9344,2.511
28.9344,2.641
28.9354,2.628
28.9354,2.481
28.9354,2.128
28.9354,1.713
28.9354,1.342
28.9364,1.251
28.9374,1.241
28.9384,1.239
28.9404,1.244
28.9414,1.265
28.9424,1.409
28.9445,1.787
28.9455,2.189
28.9465,2.504
28.9486,2.634
28.9495,2.643
28.9515,2.499
28.9524,2.162
